,All vehicles,Commercial vehicles,Current account balance (Percent of GDP),Current account balance (U.S. dollars),Employment (Persons),Export volume of goods and services (Percent change),Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP (Current international dollar),"Gross domestic product per capita, current prices (U.S. dollars)","Gross domestic product, constant prices (Percent change)","Gross domestic product, current prices (U.S. dollars)","Gross domestic product, deflator (Index)",Gross national savings (Percent of GDP),Import volume of goods and services (Percent change),"Inflation, average consumer prices (Index)","Inflation, average consumer prices (Percent change)",Investment (Percent of GDP),Output gap in percent of potential GDP (Percent of potential GDP),Passengers Cars,Population (Persons),Trade volume of goods and services (Percent change),Unemployment rate (Percent of total labor force),country,year
440,1000.0,200.0,-6.06,-0.498,,5.81,19.062,2733.735,5.7589999999999995,8.213,163.762,23.695999999999998,8.434,92.83,2.363,29.737,,800.0,3.0039999999999996,,14.1,albania,2005
441,1000.0,200.0,-5.644,-0.508,,10.523,20.715,3019.34,5.431,9.001,167.06400000000002,24.561999999999998,-3.048,95.031,2.371,30.203000000000003,,800.0,2.9810000000000003,,13.8,albania,2006
442,1800.0,200.0,-10.370999999999999,-1.109,,23.843000000000004,22.52,3620.598,5.9,10.698,173.03799999999998,20.282,11.581,97.822,2.937,30.618000000000002,,1600.0,2.955,,13.4,albania,2007
443,1800.0,200.0,-15.573,-1.975,,15.97,24.693,4333.371,7.5360000000000005,12.683,176.68,17.987000000000002,6.38,101.10799999999999,3.359,33.485,,1600.0,2.927,,13.1,albania,2008
444,1200.0,200.0,-14.295,-1.696,,-6.017,25.714000000000002,4093.639,3.35,11.864,180.567,16.226,1.073,103.40700000000001,2.274,30.521,,1000.0,2.898,,13.8,albania,2009
445,1800.0,200.0,-11.202,-1.311,,23.723000000000003,26.947,4077.862,3.53,11.705,189.07299999999998,15.669,-4.814,107.07600000000001,3.548,26.885,,1600.0,2.87,,14.0,albania,2010
446,2260.0,160.0,-13.315,-1.6880000000000002,,11.300999999999998,28.144000000000002,4459.601,2.33,12.677999999999999,194.27200000000002,12.495,5.059,110.74600000000001,3.427,25.816,,2100.0,2.843,,14.0,albania,2011
447,2500.0,200.0,-9.988,-1.215,,2.483,28.976,4321.024,1.14,12.167,197.653,14.302,-9.0,112.986,2.023,24.320999999999998,,2300.0,2.8160000000000003,,13.4,albania,2012
448,9000.0,3000.0,18.198,5.138,,31.669,68.755,1698.983,18.262,28.234,327.767,26.975,39.778,49.968,22.961,8.779,,6000.0,16.618,,,angola,2005
449,12000.0,4000.0,25.58,10.69,,14.251,85.56200000000001,2445.403,20.735,41.788999999999994,370.51199999999994,40.99100000000001,1.093,56.61600000000001,13.305,15.360999999999999,,8000.0,17.089000000000002,,,angola,2006
450,5500.0,2000.0,17.504,10.581,,17.477999999999998,107.684,3443.4,22.593000000000004,60.449,417.25699999999995,33.449,47.77,63.551,12.249,13.505,,3500.0,17.555,,,angola,2007
451,5500.0,2000.0,8.546,7.194,,10.116,124.96700000000001,4671.111,13.817,84.178,499.38,26.545,45.101000000000006,71.472,12.465,16.219,,3500.0,18.021,,,angola,2008
452,15000.0,5000.0,-10.03,-7.572,,-2.6310000000000002,128.954,4081.112,2.4130000000000003,75.492,462.332,5.2989999999999995,6.502999999999999,81.278,13.720999999999998,15.229000000000001,,10000.0,18.498,,,angola,2009
453,30000.0,10000.0,8.103,6.683,,-3.237,134.977,4328.513,3.408,82.471,565.866,22.535999999999998,-21.546999999999997,93.04700000000001,14.48,14.433,,20000.0,19.053,,,angola,2010
